,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
0,11-2012,32.0,84.87882,10,24.98298,121.54024,37.9
1,11-2012,19.5,306.5947,9,24.98034,121.53951,42.2
2,08-2013,13.3,561.9845,5,24.98746,121.54391,47.3
3,06-2013,13.3,561.9845,5,24.98746,121.54391,54.8
4,10-2012,5.0,390.5684,5,24.97937,121.54245,43.1
5,08-2012,7.1,2175.03,3,24.96305,121.51254,32.1
6,08-2012,34.5,623.4731,7,24.97933,121.53642,40.3
7,05-2013,20.3,287.6025,6,24.98042,121.54228,46.7
8,06-2013,31.7,5512.038,1,24.95095,121.48458,18.8
9,05-2013,17.9,1783.18,3,24.96731,121.51486,22.1
10,01-2013,34.8,405.2134,1,24.97349,121.53372,41.4
11,04-2013,6.3,90.45606,9,24.97433,121.5431,58.1
12,11-2012,13.0,492.2313,5,24.96515,121.53737,39.3
13,08-2012,20.4,2469.645,4,24.96108,121.51046,23.8
14,06-2013,13.2,1164.838,4,24.99156,121.53406,34.3
15,08-2013,35.7,579.2083,2,24.9824,121.54619,50.5
16,03-2013,0.0,292.9978,6,24.97744,121.54458,70.1
17,09-2012,17.7,350.8515,1,24.97544,121.53119,37.4
18,05-2013,16.9,368.1363,8,24.9675,121.54451,42.3
19,08-2012,1.5,23.38284,7,24.96772,121.54102,47.7
20,05-2013,4.5,2275.877,3,24.96314,121.51151,29.3
21,05-2013,10.5,279.1726,7,24.97528,121.54541,51.6
22,11-2012,14.7,1360.139,1,24.95204,121.54842,24.6
23,01-2013,10.1,279.1726,7,24.97528,121.54541,47.9
24,12-2013,39.6,480.6977,4,24.97353,121.53885,38.8
25,01-2013,29.3,1487.868,2,24.97542,121.51726,27.0
26,08-2012,3.1,383.8624,5,24.98085,121.54391,56.2
27,03-2013,10.4,276.449,5,24.95593,121.53913,33.6
28,06-2013,19.2,557.478,4,24.97419,121.53797,47.0
29,01-2013,7.1,451.2438,5,24.97563,121.54694,57.1
30,06-2013,25.9,4519.69,0,24.94826,121.49587,22.1
31,09-2012,29.6,769.4034,7,24.98281,121.53408,25.0
32,09-2012,37.9,488.5727,1,24.97349,121.53451,34.2
33,03-2013,16.5,323.655,6,24.97841,121.54281,49.3
34,09-2012,15.4,205.367,7,24.98419,121.54243,55.1
35,06-2013,13.9,4079.418,0,25.01459,121.51816,27.3
36,11-2012,14.7,1935.009,2,24.96386,121.51458,22.9
37,02-2013,12.0,1360.139,1,24.95204,121.54842,25.3
38,08-2012,3.1,577.9615,6,24.97201,121.54722,47.7
39,02-2013,16.2,289.3248,5,24.98203,121.54348,46.2
40,12-2013,13.6,4082.015,0,24.94155,121.50381,15.9
41,06-2013,16.8,4066.587,0,24.94297,121.50342,18.2
42,05-2013,36.1,519.4617,5,24.96305,121.53758,34.7
43,09-2012,34.4,512.7871,6,24.98748,121.54301,34.1
44,08-2013,2.7,533.4762,4,24.97445,121.54765,53.9
45,01-2013,36.6,488.8193,8,24.97015,121.54494,38.3
46,05-2013,21.7,463.9623,9,24.9703,121.54458,42.0
